event_type,priority,requires_road_closure,hour,day_of_week,latitude,longitude,resolution_time_min,severity
unplanned,High,0,17,3,13.0400041,77.5180991,153.99601163333332,3
unplanned,High,0,4,1,12.9218755,77.6451585,10.37758925,2
unplanned,Low,1,17,3,13.0061469,77.5794348,9465.174807333333,2
unplanned,Low,0,4,1,12.95398,77.5852333,38.74983805,0
unplanned,Low,0,3,1,13.0664854,77.5998755,88.34914565000001,1
unplanned,Low,0,7,1,12.9328703,77.4879814,129.3528978,2
unplanned,Low,0,5,1,13.0373543,77.6540442,129.9647537,2
unplanned,High,0,18,3,13.0008457,77.6813712,9348.299649083334,3
unplanned,High,0,5,1,12.94457,77.5274017,134.68293345,3
unplanned,High,0,18,3,12.9995223,77.6827499,94.20590969999999,3
unplanned,High,0,19,3,12.975285,77.6256902,5.938111783333333,2
unplanned,High,0,19,3,13.0633917,77.5933483,1.4639476333333334,2
unplanned,High,0,19,3,13.063425,77.5933,5.486051616666667,2
unplanned,High,0,19,3,13.0254527,77.6417388,10.44971145,2
unplanned,Low,0,19,3,12.9233517,77.5904883,293.3450075,2
unplanned,High,0,4,1,13.0001393,77.5840594,166.51155088333334,3
unplanned,High,0,19,3,12.9071221,77.6286395,27.2487523,2
unplanned,Low,1,19,3,12.927375,77.5806883,2928.5208131000004,2
unplanned,Low,0,8,1,12.9667047,77.6615983,14.834215083333333,0
unplanned,Low,0,19,3,12.8966387,77.7202071,11.046155966666667,0
unplanned,Low,1,6,3,12.9463911,77.597326,843.3240253,2
unplanned,High,0,8,1,12.9856042,77.5977438,11.009340083333333,2
unplanned,High,0,8,1,12.9077383,77.6005709,143.0118592,3
unplanned,Low,0,8,1,12.9635109,77.6642122,9.079776783333333,0
unplanned,Low,0,8,1,12.9667073,77.6615616,2.1338967,0
unplanned,Low,0,8,1,12.9666867,77.6616478,13.1044941,0
unplanned,High,1,8,1,12.907814,77.6006561,147.70489283333333,3
unplanned,High,0,5,1,12.8955737,77.5993711,172.48698109999998,3
unplanned,Low,0,20,3,12.92757,77.5832051,2907.6902057166667,2
unplanned,High,0,5,1,13.044697,77.5828546,177.5382209,3
unplanned,Low,0,8,1,12.9666885,77.6616396,8.487301616666667,0
unplanned,High,0,20,3,12.9789228,77.5644032,137.9545510833333,3
unplanned,Low,0,3,1,12.8636494,77.6725849,342.8135539833333,2
unplanned,High,0,15,1,12.9219483,77.6002467,140.63250591666667,3
unplanned,Low,0,8,1,12.9666597,77.661556,6.705425233333333,0
planned,High,0,11,1,12.946469,77.6986754,4.583619033333333,2
unplanned,High,1,20,3,12.9936273,77.5844677,106.41915116666668,3
unplanned,High,0,20,1,12.9465079,77.6986339,177.47198625000001,3
unplanned,Low,0,18,3,13.0467058,77.5036495,125.94824038333333,2
planned,Low,1,21,1,13.0085677,77.6131497,14.630457049999999,0
unplanned,High,0,19,1,13.0309717,77.5364661,122.37784896666668,3
unplanned,High,0,20,3,13.0262806,77.5442344,133.52983253333335,3
unplanned,High,0,20,3,12.9938639,77.5844374,1829.3005564666666,3
unplanned,High,0,21,1,12.9188682,77.6687736,55.541728516666666,2
unplanned,High,0,20,1,12.9546127,77.6423399,169.22176235,3
unplanned,High,0,21,1,12.936133,77.5187044,141.8704862666667,3
planned,High,0,20,1,12.9694079,77.7006346,759.7677609333333,3
unplanned,High,0,21,1,12.9849833,77.5883633,69.32987603333332,3
unplanned,High,0,20,3,13.0127301,77.5545135,172.84337438333333,3
unplanned,Low,0,21,1,12.9842019,77.7336286,61.27697078333333,1
unplanned,Low,1,19,1,13.2644465,77.7187627,179.23684601666668,2
unplanned,Low,0,22,1,12.9848257,77.7527586,36.41233746666667,0
unplanned,High,0,20,3,12.9932986,77.5837571,1819.0784875333334,3
unplanned,High,0,20,3,12.9937523,77.5842482,1823.1111353833332,3
unplanned,High,0,20,3,12.9938868,77.5841876,1825.6380844833334,3
unplanned,High,0,23,1,12.9368467,77.6928653,10.513486133333334,2
unplanned,Low,0,23,1,12.9513113,77.4994888,83.22766023333334,1
unplanned,Low,0,21,1,13.0160964,77.5068555,133.83007706666666,2
unplanned,High,0,21,3,12.9807501,77.6028238,5.140865333333333,2
unplanned,Low,0,20,3,12.9165983,77.583705,321.23818236666665,2
unplanned,High,0,1,2,13.0198619,77.6562235,3.211340583333333,2
unplanned,High,0,1,2,13.0191848,77.6555127,4.0398114000000005,2
unplanned,High,0,0,2,12.9740913,77.5452252,44.18835605,2
unplanned,High,0,0,2,12.9740971,77.5449011,41.797760616666665,2
unplanned,Low,0,1,2,12.9688926,77.569795,26.158530816666666,0
unplanned,High,0,23,1,12.9838737,77.5286068,8639.783111666668,3
unplanned,Low,0,22,1,12.9511354,77.5739687,176.17561211666668,2
unplanned,Low,0,23,1,13.0192138,77.5395595,144.73249093333334,2
unplanned,Low,0,21,3,12.9161187,77.5856548,5754.0936329333335,2
unplanned,High,1,23,1,12.9284355,77.6811918,137.28279306666667,3
unplanned,Low,0,19,3,13.0753282,77.4370383,132.12283276666668,2
unplanned,Low,0,19,3,13.2673624,77.7195893,132.37432686666665,2
unplanned,Low,0,21,3,12.9449039,77.4949618,15.88912515,0
unplanned,Low,0,21,3,12.9873133,77.6163481,116.8119772,1
planned,High,0,21,3,12.969418,77.7006526,792.5311395333333,3
unplanned,Low,0,2,2,12.8482637,77.6713737,83.47854003333333,1
unplanned,High,0,5,2,12.96672,77.6093294,52.75157615,2
unplanned,High,0,21,3,13.0253205,77.6400845,74.82553706666666,3
unplanned,Low,0,2,2,12.8561783,77.6645205,7.474684466666667,0
